Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0158,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Fallow deer,Dama dama,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,8,1,0.13,No,Yes,No,NA,No,NA,No,,No birds
0159,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Eurasian jay,Garrulus glandarius,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,6,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0160,"Hulinska et al., 2002",Moravia and a horse breeding farm,Czech Republic,No,NA,NA,Common vole,Microtus arvalis,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,17,2,0.12,No,Yes,No,NA,No,NA,No,,No birds
0161,"Hulinska et al., 2002",Moravia and a horse breeding farm,Czech Republic,No,NA,NA,Bank vole,Myodes glareolus,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,13,1,0.08,No,Yes,No,NA,No,NA,No,,No birds
0162,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Great cormorant,Phalacrocorax carbo,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,1,1,1.00,No,Yes,No,NA,No,NA,No,,Resident birds
0163,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Common pheasant,Phasianus colchicus,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,12,2,0.17,No,Yes,No,NA,No,NA,No,,Resident birds
0164,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Wild boar,Sus scrofa,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,38,5,0.13,No,Yes,No,NA,No,NA,No,,No birds
0165,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Red fox,Vulpes vulpes,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,6,1,0.17,No,Yes,No,NA,No,NA,No,,No birds
0166,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Horsegrounds,2002-2003,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Blood and tissue samples (predominantly spleen and ear),real-time PCR,16S,A. phagocytophilum,40,6,0.15,No,Yes,No,NA,No,NA,No,,No birds
0167,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,40,6,0.15,No,Yes,No,NA,No,NA,No,,No birds
0168,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,Red deer,Cervus elaphus,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,15,2,0.13,No,Yes,No,NA,No,NA,No,,No birds
0169,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,Fallow deer,Dama dama,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,15,2,0.13,No,Yes,No,NA,No,NA,No,,No birds
0170,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,European hare,Lepus europaeus,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,8,1,0.13,No,Yes,No,NA,No,NA,No,,No birds
0171,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Horsegrounds ,2002-2003,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood and tissue samples (predominantly spleen and ear),real-time PCR,16S,A. phagocytophilum,15,2,0.13,No,Yes,No,NA,No,NA,No,,No birds
0172,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,15,2,0.13,No,Yes,No,NA,No,NA,No,,No birds
0173,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,Wild boar,Sus scrofa,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,69,4,0.06,No,Yes,No,NA,No,NA,No,,No birds
0174,"Hulinska et al., 2004","In the neighborhood of Napajedla, in Moravia and close to Chlumec in east Bohemia",Czech Republic,No,Enclosures,October and November 2002–2003,Red fox,Vulpes vulpes,Mammal,Hunting,Blood and tissue samples (predominantly spleen and heart),real-time PCR,16S,A. phagocytophilum,25,1,0.04,No,Yes,No,NA,No,NA,No,,No birds
0175,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0176,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,23,1,0.04,3,Yes,No,NA,No,NA,No,,No birds
0177,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,38,26,0.68,1 and 2,Yes,No,NA,No,NA,No,,No birds
0178,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,European greenfinch,Carduelis chloris,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0179,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Hawfinch,Coccothraustes coccothraustes,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0180,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Greater white-toothed shrew,Crocidura russula,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0181,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Common chaffinch,Fringilla coelebs,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0182,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,European badger,Meles meles,Mammal,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,40,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0183,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,8,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0184,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,35,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0185,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Great tit,Parus major,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0186,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Willow warbler,Phylloscopus trochilus,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0187,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Eurasian bullfinch,Pyrrhula pyrrhula,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0188,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,2007 - 2010 ,Common shrew,Sorex araneus,Mammal,Scientific capturing,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0189,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Redwing thrush,Turdus iliacus,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0190,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Common blackbird,Turdus merula,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,11,1,0.09,4,Yes,No,NA,No,NA,No,,Resident birds
0191,"Jahfari et al., 2014",The Netherlands,The Netherlands,No,NA,NA,Song thrush,Turdus philomelos,Bird,Found dead or euthanized,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0192,"Jahfari et al., 2014","Strip of 15 km along the border with Germany, from Groningen to Limburg",The Netherlands,No,NA,October 2010 - April 2012,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen and blood,real-time qPCR,msp2,A. phagocytophilum,81,8,0.10,1,Yes,No,NA,No,NA,No,,No birds
0193,"Jouglin et al., 2017","Villecartier forest, Ille et Vilaine (48°28'26""N, 1°33'29""W), Brittany",France,No,NA,Winter 2014 and 2015,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,nested PCR,ankA,A. phagocytophilum,46,34,0.74,No,Yes,No,NA,No,NA,No,,No birds
0194,"Jouglin et al., 2017","Aurignac (43°13'10""N, 0°52'49""E), Haute-Garonne",France,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Scientific capturing,Blood,nested PCR,ankA,A. phagocytophilum,40,15,0.38,No,Yes,No,NA,No,NA,No,,No birds
0195,"Kallio et al., 2014","Konnevesi area (6283’79’’ N, 2682’09’’ E)",Finland,No,"Coniferous forest dominated by Scots pine (Pinus sylvestris), Norway spruce (Picea abies) and various shrubs (e.g. Calluna sp., Vaccinium spp.)",July 2008,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,151,33,0.22,No,Yes,Yes,"95% CI: 15,3-28,5%",No,NA,No,,No birds
0196,"Karbowiak et al., 2009",Poland,Poland,No,NA,NA,Red fox,Vulpes vulpes,Mammal,NA,Spleen,nested PCR,16S rRNA,A. phagocytophilum,111,3,0.03,No,Yes,No,NA,No,NA,No,,No birds
0197,"Kauffmann et al., 2017","Schlaubetal, Brandenburg; Köningshainer Berge, Saxony; Osterzgebirge, Saxony; Vogtland, Saxony; Reinstädter Grund, Thuringia; Stadtroda, Thuringia; Ostharz, Saxony-Anhalt; Eichsfeld, Thuringia; Wittgensteiner Land, North Rhine-Westphalia; Donnersberg, Rhineland-Palatinate; Eifel, North Rhine-Westphalia",Germany,No,NA,Hunting seasons from May 2009 - November 2010,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,real-time PCR,msp2 and 16S rRNA,A. phagocytophilum,153,147,0.96,No,Yes,No,NA,No,NA,No,,No birds
0198,"Kauffmann et al., 2017","Brüggen-Bracht, North Rhine-Westphalia",Germany,No,NA,Hunting seasons from May 2009 - November 2010,Fallow deer,Dama dama,Mammal,Hunting,Spleen,real-time PCR,msp2 and 16S rRNA,A. phagocytophilum,43,31,0.72,No,Yes,No,NA,No,NA,No,,No birds
0199,"Kauffmann et al., 2017","Schlaubetal, Brandenburg; Köningshainer Berge, Saxony; Osterzgebirge, Saxony; Vogtland, Saxony; Reinstädter Grund, Thuringia; Stadtroda, Thuringia; Ostharz, Saxony-Anhalt; Eichsfeld, Thuringia; Wittgensteiner Land, North Rhine-Westphalia; Donnersberg, Rhineland-Palatinate; Eifel, North Rhine-Westphalia; Rhön, Hesse",Germany,No,NA,Hunting seasons from May 2009 - November 2010,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Spleen,real-time PCR,msp2,A. phagocytophilum,168,125,0.74,No,Yes,No,NA,No,NA,No,,No birds
0200,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen and blood,real-time PCR,msp2,A. phagocytophilum,14,13,0.93,1 and 2,Yes,No,NA,AF,"Kazimirova et al., (2018)",No,"All tested in spleen and 12 tested for blood. 5 positive in blood and spleen, 7 in spleen and 1 in blood. Not clear which sample ecotype 1 and 2. Additional information obtained from author.",No birds
0201,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,Red deer,Cervus elaphus,Mammal,Hunting,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,8,8,1.00,1 and 2,Yes,No,NA,AF,"Kazimirova et al., (2018)",No,All animals were both positive in spleen and blood. Not clear which sample ecotype 1 and 2,No birds
0202,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,Fallow deer,Dama dama,Mammal,Hunting,Spleen and blood,real-time PCR,msp2,A. phagocytophilum,22,21,0.95,1 and 2,Yes,No,NA,AF,"Kazimirova et al., (2018)",No,"All tested in spleen and 17 tested in blood. 15 animals positive in blood and spleen, 5 only positive in spleen and 1 only in blood. Not clear which sample ecotype 1 and 2. Additional information obtained from author.",No birds
0203,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Spleen and blood,real-time PCR,msp2,A. phagocytophilum,9,8,0.89,1 and 2,Yes,No,NA,AF,"Kazimirova et al., (2018)",No,"All tested for spleen, only 7 tested for blood. 3 animals positive in blood and spleen, 4 only positive in spleen and 1 only positive in blood. Not clear which sample ecotype 1 and 2. Additional information obtained from author.",No birds
0204,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,Wild boar,Sus scrofa,Mammal,Hunting,Spleen and blood,real-time PCR,msp2,A. phagocytophilum,39,11,0.28,1 and 2,Yes,No,NA,No,NA,No,"All tested in spleen and 31 tested in blood. 5 animals positive in blood and spleen, 1 only positive in blood and 5 only positive in spleen. Not clear which sample ecotype 1 and 2",No birds
0205,"Kiss et al., 2014",Transylvania,Romania,No,NA,2007 - 2008 and 2010 - 2012,Wild boar,Sus scrofa,Mammal,NA,"Spleen, liver and kidney",nested PCR,16S rRNA,A. phagocytophilum,870,39,0.04,No,No,No,NA,No,NA,No,,No birds
0206,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,78,1,0.01,No,Yes,Yes,"95% CI: 0,1-7,6%",T,"Maaz et al., (2018)",No,,No birds
0207,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,82,4,0.05,No,Yes,Yes,"95% CI: 1,5-11,4%",T,"Maaz et al., (2018)",No,,No birds
0208,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,25,2,0.08,No,Yes,Yes,"95% CI: 1,1-26,1%",T,"Maaz et al., (2018)",No,,No birds
0209,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Field vole,Microtus agrestis,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,2,0,0.00,NA,NA,Yes,95% CI: 0-71%,T,"Maaz et al., (2018)",No,,No birds
0210,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,11,0,0.00,NA,NA,Yes,95% CI: 0-30%,T,"Maaz et al., (2018)",No,,No birds
0211,"Krucken et al., 2013",Berlin,Germany,No,NA,2010 and 2011,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen,PCR  ,16S rRNA,A. phagocytophilum,56,0,0.00,NA,NA,Yes,"95% CI: 0-7,7%",T,"Maaz et al., (2018)",No,,No birds
0212,"Laloy et al., 2009","French Pyrenees mountains (departements: Haute-Garonne, Ariege and Pyrenees-Orientales)",France,No,NA,2007,Pyrenean chamois,Rupicapra pyrenaica  ,Mammal,Hunting,Spleen,PCR and nested PCR,"16S rDNA, msp4, groEL, msp2 and gltA",A. phagocytophilum,120,1,0.01,No,Yes,No,NA,No,NA,No,,No birds
0213,"Liesner et al., 2016",Federal state of Brandenburg,Germany,No,NA,February to September 2014,Red fox,Vulpes vulpes,Mammal,Hunted or killed in traffic accidents,Spleen,PCR,16S rRNA,A. phagocytophilum,195,0,0.00,NA,NA,Yes,"95% CI: 0,0-1,9%",No,NA,No,,No birds
0214,"Liz et al., 2000","Regions of Plateau de Diesse (Canton of Bern), Val-de-Ruz (Canton of Neuchatel) and Balzenberg-Erlenbach, Frutigen, Aeschiried, and Reutigen (Canton of Bern)",Switzerland,No,Wooded areas and nearby fields adjacent to pastures,"Spring, summer, and fall 1998",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Blood, spleen, liver and ear",nested PCR,16S rRNA,E. phagocytophila genogroup,69,2,0.03,No,Yes,No,NA,No,NA,No,One positive only in all tissue and one positive in tissue and blood,No birds
0215,"Liz et al., 2000","Regions of Plateau de Diesse (Canton of Bern), Val-de-Ruz (Canton of Neuchatel) and Balzenberg-Erlenbach, Frutigen, Aeschiried, and Reutigen (Canton of Bern)",Switzerland,No,Wooded areas and nearby fields adjacent to pastures,"Spring, summer, and fall 1998",Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,"Blood, spleen, liver and ear",nested PCR,16S rRNA,E. phagocytophila genogroup,48,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0216,"Liz et al., 2000",Regions of Plateau de Diesse (Canton of Bern) and Val-de-Ruz (Canton of Neuchatel),Switzerland,No,Wooded areas and nearby fields adjacent to pastures,"Spring, summer, and fall 1998",European pine vole,Microtus subterraneus,Mammal,Scientific capturing,"Blood, spleen, liver and ear",nested PCR,16S rRNA,E. phagocytophila genogroup,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0217,"Liz et al., 2000","Regions of Plateau de Diesse (Canton of Bern), Val-de-Ruz (Canton of Neuchatel) and Balzenberg-Erlenbach, Frutigen, Aeschiried, and Reutigen (Canton of Bern)",Switzerland,No,Wooded areas and nearby fields adjacent to pastures,"Spring, summer, and fall 1998",Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Blood, spleen, liver and ear",nested PCR,16S rRNA,E. phagocytophila genogroup,78,14,0.17,No,Yes,No,NA,No,NA,No,"2 positive in blood, spleen and ear, 1 positive in blood, spleen, ear and liver, 1 positive in blood and spleen, 1 in blood and ear, 5 in spleen, liver and ear, 1 in ear, 1 in spleen and ear and 1 in spleen",No birds
0218,"Liz et al., 2000",Regions of Plateau de Diesse (Canton of Bern) and Val-de-Ruz (Canton of Neuchatel),Switzerland,No,Wooded areas and nearby fields adjacent to pastures,"Spring, summer, and fall 1998",Common shrew,Sorex araneus,Mammal,Scientific capturing,"Blood, spleen, liver and ear",nested PCR,16S rRNA,E. phagocytophila genogroup,5,1,0.20,No,Yes,No,NA,No,NA,No,"The shrew that is positive for blood was also positive for spleen, liver and ear.",No birds
0219,"Liz et al., 2002","Canton of Neuchâtel, Canton of Bern and Canton of Vaud",Switzerland,No,NA,Autumn 1992,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,nested PCR,16S rRNA,E. phagocytophila,103,19,0.18,No,Yes,No,NA,No,NA,No,,No birds
0220,"Liz et al., 2002",Canton of Neuchâtel and Canton of Bern,Switzerland,No,NA,Autumn 1992,Alpine chamois,Rupicapra rupicapra,Mammal,Hunting,Blood,nested PCR,16S rRNA,E. phagocytophila,24,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0221,"Malmsten et al., 2014","Öland, Småland, Sörmland and Västergötland",Sweden,No,"Öland: Mix of agricultural land and deciduous forest in the southern part, and boreal forest in the the northern parts. Others: Mostly boreal forest",October and November 2007-2010,Eurasian elk,Alces alces,Mammal,Hunting,Spleen,real-time PCR,16S rDNA,A. phagocytophilum,263,69,0.26,No,Yes,No,NA,No,NA,No,,No birds
0222,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,60,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0223,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,77,5,0.06,No,Yes,Yes,"95% CI: 2,14-14,51%",No,NA,No,,No birds
0224,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,51,2,0.04,No,Yes,Yes,"95% CI: 0,48-13,46%",No,NA,No,,No birds
0225,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Herb field mouse,Apodemus uralensis,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,62,3,0.05,No,Yes,Yes,"95% CI: 1,01-13,5%",No,NA,No,,No birds
0226,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Montane water vole,Arvicola scherman,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0227,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,European water vole,Arvicola terrestris,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0228,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Common hamster,Cricetus cricetus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0229,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Bicolored shrew,Crocidura leucodon,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,21,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0230,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Lesser white-toothed shrew,Crocidura suaveolens,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,41,1,0.02,No,Yes,Yes,"95% CI: 0,06-12,86%",No,NA,No,,No birds
0231,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Fat dormouse,Glis glis,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,43,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0232,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0233,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Field vole,Microtus agrestis,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,26,1,0.04,No,Yes,Yes,"95% CI: 0,10-19,64%",No,NA,No,,No birds
0234,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,57,1,0.02,No,Yes,Yes,"95% CI: 0,04-9,39%",No,NA,No,,No birds
0235,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,European pine vole,Microtus subterraneus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,36,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0236,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Tatra pine vole,Microtus tatricus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0237,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,House mouse,Mus musculus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,55,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0238,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Mound-building mouse,Mus spicilegus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,50,1,0.02,No,Yes,Yes,"95% CI: 0,05-10,65%",No,NA,No,,No birds
0239,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Hazel dormouse,Muscardinus avellanarius,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,32,1,0.03,No,Yes,Yes,"95% CI: 0,08-16,22%",No,NA,No,,No birds
0240,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,53,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0241,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Mediterranean water shrew,Neomys anomalus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0242,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Eurasian water shrew,Neomys fodiens,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
