Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
161,"Gryczynska et al., 2019","Mazurian Lake region (53°47’N, 21°34’E)",Poland,No,Forest,NA,Song thrush,Turdus philomelos,Bird,Scientific capturing,Nested PCR,Borreliella spp. ,14,20,No,9,1,0.11,28,6,0.21,0,NA,NA,6,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
162,"Hanincova et al., 2003a",Western Slovakia,Slovakia  ,No,,,Bank vole,Myodes glareolus,Mammal,,PCR-RLB,B. burgdorferi s.l.,,,Yes,252,77,0.31,15,7,0.47,0,NA,NA,,,,,,No,,No birds,,267,84,0.31,H,Yes
163,"Hanincova et al., 2003a",Western Slovakia,Slovakia  ,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR-RLB,B. burgdorferi s.l.,,,Yes,461,56,0.12,15,7,0.47,0,NA,NA,,,,,,No,,No birds,,476,63,0.13,H,Yes
164,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Blue tit,Cyanistes caeruleus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
165,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,European robin,Erithacus rubecula,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,25,0,0.00,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,28,0,0.00,H,Yes
166,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Common chaffinch,Fringilla coelebs,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
167,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,House sparrow,Passer domesticus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
168,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Willow tit,Poecile montanus,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,3,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
169,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Marsh tit,Poecile palustris,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
170,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Eurasian blackcap,Sylvia atricapilla,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,3,0,0.00,5,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,8,0,0.00,H,Yes
171,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Great tit,Parus major,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,2,1,0.50,11,2,0.18,0,NA,NA,,,,,,No,,Migratory birds,,13,3,0.23,H,Yes
172,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Common blackbird,Turdus merula,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,2,1,0.50,12,3,0.25,0,NA,NA,,,,,,No,,Migratory birds,,14,4,0.29,H,Yes
173,"Hanincova et al., 2003b",Western Slovakia,Slovakia  ,No,,March-June 2001,Song thrush,Turdus philomelos,Bird,,Sequencing,B. burgdorferi s.l.,,,Yes,12,3,0.25,18,6,0.33,0,NA,NA,,,,,,No,,Migratory birds,,30,9,0.30,H,Yes
174,"Heylen et al., 2013",Belgium,Belgium,No,,,Blue tit,Cyanistes caeruleus,Bird,,Sequencing,B. burgdorferi s.l.,,,No,9,1,0.11,31,5,0.16,0,NA,NA,,,,,,No,,Resident birds,,40,6,0.15,H,Yes
175,"Heylen et al., 2013",Belgium,Belgium,No,,,Great tit,Parus major,Bird,,Sequencing,B. burgdorferi s.l.,,,No,131,23,0.18,319,71,0.22,0,NA,NA,,,,,,No,,Resident birds,,450,94,0.21,H,Yes
177,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Common blackbird,Turdus merula,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,173,NA,Yes,36,15,0.42,240,125,0.52,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
178,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.3",The Netherlands and Belgium,Yes,NA,2012-2014,Song thrush,Turdus philomelos,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,53,NA,Yes,12,11,0.92,45,26,0.58,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
179,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Redwing thrush,Turdus iliacus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,53,NA,Yes,22,3,0.14,52,9,0.17,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
180,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.4",The Netherlands and Belgium,Yes,NA,2012-2014,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,13,NA,Yes,6,0,0.00,7,4,0.57,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
181,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Dunnock,Prunella modularis,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,13,NA,Yes,7,0,0.00,45,11,0.24,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
182,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.5",The Netherlands and Belgium,Yes,NA,2012-2014,European robin,Erithacus rubecula,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,13,NA,Yes,16,1,0.06,10,1,0.10,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
183,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,11,NA,Yes,15,2,0.13,4,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
184,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.6",The Netherlands and Belgium,Yes,NA,2012-2014,Whitethroat,Sylvia communis,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,8,NA,Yes,3,0,0.00,13,1,0.08,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
185,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,7,NA,Yes,6,0,0.00,13,5,0.38,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
186,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.7",The Netherlands and Belgium,Yes,NA,2012-2014,Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,5,NA,Yes,0,NA,NA,6,1,0.17,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
187,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Great tit,Parus major,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,5,NA,NA,2,0,0.00,3,0,0.00,1,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
188,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.8",The Netherlands and Belgium,Yes,NA,2012-2014,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,4,NA,NA,2,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
189,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,4,NA,NA,4,0,0.00,4,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
190,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.9",The Netherlands and Belgium,Yes,NA,2012-2014,Lesser redpol,Carduelis cabaret,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,4,NA,Yes,0,NA,NA,3,1,0.33,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
191,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,3,NA,NA,0,NA,NA,4,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
192,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.10",The Netherlands and Belgium,Yes,NA,2012-2014,Bluethroat,Luscinia svecica,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,NA,0,NA,NA,8,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
193,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Marsh warbler,Acrocephalus palustris,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
194,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.11",The Netherlands and Belgium,Yes,NA,2012-2014,House sparrow,Passer domesticus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,Yes,1,0,0.00,2,1,0.50,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
195,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian tree sparrow,Passer montanus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,Yes,1,1,1.00,1,1,1.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
196,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.12",The Netherlands and Belgium,Yes,NA,2012-2014,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
197,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Garden warbler,Sylvia borin,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,2,NA,No,0,NA,NA,1,1,1.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
198,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.13",The Netherlands and Belgium,Yes,NA,2012-2014,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
199,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Europaen pied flycatcher,Ficedula hypoleuca,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,Yes,0,NA,NA,1,1,1.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
200,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.14",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian jay,Garrulus glandarius,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
201,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Common linnet,Carduelis cannabina,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
202,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.15",The Netherlands and Belgium,Yes,NA,2012-2014,Willow tit,Poecile montanus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
203,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Reed bunting,Emberiza schoeniclus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
